ActorId,obs_date,n_events_Sum_12M,AvgTone_Avg_12M,AvgTone_Max_12M,AvgTone_Min_12M,NumMentions_Sum_12M,NumMentions_Avg_12M,NumSources_Sum_12M,NumSources_Avg_12M,GoldsteinScale_Avg_12M,GoldsteinScale_Max_12M,GoldsteinScale_Min_12M
AAR_AFAR,12/31/2014,35,3.089889004,5.852516582,0,278,7,40,1,0.205714,7,-10
ABK_ABKHAZIANS,12/31/2014,33,2.515009595,5.263157895,-0.12987013,296,8,34,1,-0.015151,7,-10
ABR010_FREEMASON,12/31/2014,4,3.019740152,3.581267218,1.335158954,36,9,5,1,3.1,7,-5
ABR010_FREEMASONRY,12/31/2014,5,3.164584564,3.544554455,2.272727273,14,2,5,1,2.6,7.4,-6.5
ABW_ARUBA,12/31/2014,1,3.072625698,3.072625698,3.072625698,2,2,1,1,1.9,1.9,1.9
ADI_ADIVASI,12/31/2014,1,1.745200698,1.745200698,1.745200698,3,3,1,1,3,3,3
ADICVL_ADIVASI,12/31/2014,1,1.089217432,1.089217432,1.089217432,50,50,4,4,3.4,3.4,3.4
ADR030_KUMINA,12/31/2014,8,0.854700855,0.854700855,0.854700855,30,3,8,1,2.35,2.8,1.9
ADR040_MACUMBA,12/31/2014,3,2.432452945,3.825136612,1.736111111,22,7,3,1,-2,-2,-2
AFA_AFRICANS,12/31/2014,92,2.289988905,5.571847507,-10,900,9,160,1,1.113043,7.4,-10
AFG_AFGHAN,12/31/2014,295,2.093577749,7.575757576,0,2052,6,555,1,0.015932,10,-10
AFG_AFGHANISTAN,12/31/2014,1720,2.52249669,10.22727273,-9.459459459,12020,6,2608,1,1.043953,10,-10
AFG_AFGHANSITAN,12/31/2014,1,2.317976656,2.317976656,2.317976656,60,60,1,1,10,10,10
AFG_HERAT,12/31/2014,76,2.383357171,4.716981132,0.403225806,510,6,80,1,1.656578,8,-10
AFG_KABUL,12/31/2014,94,2.068077674,5.117565698,0,406,4,103,1,-0.65,8,-10
AFG_KANDAHAR,12/31/2014,18,2.418406411,8.280254777,0,83,4,18,1,-0.144444,10,-10
AFGBUS_AFGHANISTAN,12/31/2014,3,1.445600376,1.606425703,1.365187713,6,2,3,1,0,1,-2
AFGCOP_AFGHAN,12/31/2014,13,1.122457904,2.588996764,0.574712644,48,3,13,1,0.984615,6,-10
AFGCOP_AFGHANISTAN,12/31/2014,20,2.565998604,5.442176871,0.578034682,43,2,22,1,-0.75,6,-10
AFGCOP_HERAT,12/31/2014,8,1.949726236,2.770083102,1.204819277,72,9,8,1,1.6375,4,-5
AFGCOP_KABUL,12/31/2014,1,0.6,0.6,0.6,3,3,1,1,-10,-10,-10
AFGCVL_AFGHAN,12/31/2014,2,2.48867441,2.610759494,2.366589327,14,7,2,1,-4.05,1.9,-10
AFGCVL_AFGHANISTAN,12/31/2014,8,1.647873906,2.339181287,1.061571125,13,1,8,1,-3,7,-10
AFGCVL_HERAT,12/31/2014,2,2.494802495,2.494802495,2.494802495,20,10,2,1,1.7,3.4,0
AFGEDU_AFGHAN,12/31/2014,1,3.063063063,3.063063063,3.063063063,6,6,1,1,-4,-4,-4
AFGEDU_AFGHANISTAN,12/31/2014,6,1.483278061,2.247191011,1.101321586,10,1,6,1,3,7,1
AFGEDU_KABUL,12/31/2014,1,3.629032258,3.629032258,3.629032258,2,2,1,1,1.9,1.9,1.9
AFGELI_AFGHANISTAN,12/31/2014,1,1.312335958,1.312335958,1.312335958,10,10,1,1,0,0,0
AFGELI_BURHANUDDIN RABBANI,12/31/2014,1,2.721893491,2.721893491,2.721893491,10,10,1,1,-10,-10,-10
AFGGOV_AFGHAN,12/31/2014,20,2.303833661,3.464203233,1.509433962,120,6,24,1,3.805,8,-5
AFGGOV_AFGHANISTAN,12/31/2014,48,2.338912805,8.235294118,0,141,2,52,1,1.554166,10,-10
AFGGOV_ASHRAF GHANI,12/31/2014,23,1.815297773,4.047724206,0.280112045,138,6,26,1,0.321739,7,-9.5
AFGGOV_FOREIGN MINISTER ABDULLAH,12/31/2014,2,1.366836708,1.51416122,1.219512195,12,6,3,1,0,0,0
AFGGOV_HAMID KARZAI,12/31/2014,17,2.681723183,3.856749311,1.129943503,62,3,17,1,-0.047058,5,-10
AFGGOV_HERAT,12/31/2014,28,2.789124447,5.442176871,0.403225806,173,6,28,1,2.682142,7.4,0
AFGGOV_KABUL,12/31/2014,8,2.896885285,3.353293413,1.280558789,29,3,8,1,1.5,3.5,-9.5
AFGGOV_OMAR ZAKHILWAL,12/31/2014,2,1.736972705,1.736972705,1.736972705,12,6,2,1,8,8,8
AFGGOVEDU_AFGHAN,12/31/2014,1,4.507042254,4.507042254,4.507042254,6,6,1,1,7.4,7.4,7.4
AFGGOVMIL_AFGHAN,12/31/2014,2,2.553827751,2.651515152,2.456140351,8,4,2,1,3.4,3.4,3.4
AFGGOVMIL_AFGHANISTAN,12/31/2014,8,2.36055492,2.445652174,2.105263158,18,2,8,1,3.7625,8,1.9
AFGHLH_HERAT,12/31/2014,1,3.846153846,3.846153846,3.846153846,10,10,1,1,8.3,8.3,8.3
AFGINSTAL_TALIBAN,12/31/2014,154,2.247848331,8.895705521,-2.927721866,1461,9,228,1,-4.224675,9,-10
AFGINSTALOPP_TALIBAN,12/31/2014,6,1.777733342,2.655889145,0.836820084,28,4,6,1,4,7,-2
AFGINSTALREB_TALIBAN,12/31/2014,9,1.382626719,2.791461412,0.279329609,69,7,20,2,-8.666666,0,-10
AFGINSTALUAF_TALIBAN,12/31/2014,11,1.891455187,6.849315068,0,88,8,12,1,-6.818181,0,-10
AFGMED_AFGHAN,12/31/2014,3,2.228796844,2.958579882,0.769230769,12,4,3,1,-2.666666,1,-10
AFGMED_AFGHANISTAN,12/31/2014,6,1.767064234,2.21987315,0.617283951,14,2,8,1,-5.833333,0,-10
AFGMIL_AFGHAN,12/31/2014,10,2.214142712,3.11942959,0.574712644,72,7,10,1,1.55,7.4,-10
AFGMIL_AFGHANISTAN,12/31/2014,17,1.436304533,3.879310345,0,244,14,39,2,-3.347058,8.3,-10
AFGMOS_AFGHANISTAN,12/31/2014,2,1.480738363,2.247191011,0.714285714,4,2,2,1,1.7,3.4,0
AFGOPP_AFGHAN,12/31/2014,1,1.741293532,1.741293532,1.741293532,3,3,1,1,3,3,3
AFGPTY_AFGHAN,12/31/2014,2,2.532076303,2.927400468,2.136752137,12,6,2,1,-0.5,3,-4
AFGPTY_AFGHANISTAN,12/31/2014,2,2.297033568,2.927400468,1.666666667,3,1,2,1,-0.3,3.4,-4
AFGREB_AFGHAN,12/31/2014,1,2.250803859,2.250803859,2.250803859,3,3,1,1,3.5,3.5,3.5
AFGREB_AFGHANISTAN,12/31/2014,4,4.77389655,5.607476636,2.396514161,50,12,6,1,-6.65,3.4,-10
AFGUAF_AFGHANISTAN,12/31/2014,6,1.543658879,2.994011976,1.142857143,23,3,6,1,-10,-10,-10
AFR_AFRICA,12/31/2014,3229,2.309423714,12.96296296,-11.86433436,27913,8,5149,1,1.207184,10,-10
